clustername	contigname
nneighs_12881	S4CS18097D-03-12_S0_L001CNODE_15316_length_2992_cov_2.699694
nneighs_12881	S1CS18097D-03-02_S0_L001CNODE_29382_length_2145_cov_3.604785
nneighs_12881	S4CS18097D-03-12_S0_L001CNODE_21606_length_2415_cov_3.108898
nneighs_12881	S3CS18097D-03-11_S0_L001CNODE_3532_length_7239_cov_4.544961
nneighs_12881	S5CS18097D-03-06_S0_L001CNODE_8963_length_3875_cov_3.974346
10898	S4CS18097D-03-12_S0_L001CNODE_19010_length_2613_cov_4.879203
4879	S4CS18097D-03-12_S0_L001CNODE_15339_length_2989_cov_2.384799
16687	S5CS18097D-03-06_S0_L001CNODE_21029_length_2284_cov_12.614177
4824	S3CS18097D-03-11_S0_L001CNODE_16983_length_2997_cov_4.314072
6750	S1CS18097D-03-02_S0_L001CNODE_19649_length_2742_cov_3.401935
2253	S1CS18097D-03-02_S0_L001CNODE_12212_length_3664_cov_4.469105
nneighs_8139	S3CS18097D-03-11_S0_L001CNODE_9513_length_4212_cov_6.144816
nneighs_8139	S1CS18097D-03-02_S0_L001CNODE_15174_length_3217_cov_4.820999
nneighs_8139	S5CS18097D-03-06_S0_L001CNODE_7918_length_4179_cov_7.301164
nneighs_8139	S2CS18097D-03-07_S0_L001CNODE_13817_length_2925_cov_4.360627
nneighs_8139	S4CS18097D-03-12_S0_L001CNODE_9172_length_4125_cov_8.237838
2894	S1CS18097D-03-02_S0_L001CNODE_13632_length_3429_cov_66.773563
2146	S1CS18097D-03-02_S0_L001CNODE_11939_length_3715_cov_5.085246
nneighs_7932	S4CS18097D-03-12_S0_L001CNODE_14247_length_3128_cov_5.078100
nneighs_7932	S1CS18097D-03-02_S0_L001CNODE_14725_length_3273_cov_13.432878
nneighs_7932	S2CS18097D-03-07_S0_L001CNODE_19495_length_2376_cov_4.821629
3224	S4CS18097D-03-12_S0_L001CNODE_12927_length_3331_cov_3.399267
nneighs_19906	S3CS18097D-03-11_S0_L001CNODE_22214_length_2551_cov_13.061699
nneighs_19906	S5CS18097D-03-06_S0_L001CNODE_8884_length_3894_cov_5.462620
6450	S4CS18097D-03-12_S0_L001CNODE_17272_length_2777_cov_17.127112
nneighs_11937	S1CS18097D-03-02_S0_L001CNODE_26071_length_2307_cov_37.833925
nneighs_11937	S2CS18097D-03-07_S0_L001CNODE_20387_length_2311_cov_19.927748
20931	S2CS18097D-03-07_S0_L001CNODE_23283_length_2133_cov_5.846487
nneighs_12403	S4CS18097D-03-12_S0_L001CNODE_21914_length_2392_cov_2.941378
nneighs_12403	S1CS18097D-03-02_S0_L001CNODE_27665_length_2226_cov_3.793643
nneighs_12403	S3CS18097D-03-11_S0_L001CNODE_22810_length_2507_cov_4.535481
18842	S3CS18097D-03-11_S0_L001CNODE_28389_length_2202_cov_2.460643
nneighs_5626	S3CS18097D-03-11_S0_L001CNODE_26379_length_2299_cov_10.401070
nneighs_5626	S1CS18097D-03-02_S0_L001CNODE_9600_length_4249_cov_5.795184
nneighs_5626	S2CS18097D-03-07_S0_L001CNODE_11748_length_3213_cov_10.096263
nneighs_5626	S4CS18097D-03-12_S0_L001CNODE_22123_length_2378_cov_7.417133
nneighs_3861	S1CS18097D-03-02_S0_L001CNODE_6280_length_5387_cov_11.408290
nneighs_3861	S5CS18097D-03-06_S0_L001CNODE_846_length_13189_cov_8.500000
nneighs_3861	S4CS18097D-03-12_S0_L001CNODE_9342_length_4075_cov_10.363433
nneighs_3861	S3CS18097D-03-11_S0_L001CNODE_24111_length_2427_cov_9.798482
nneighs_3861	S4CS18097D-03-12_S0_L001CNODE_2819_length_7918_cov_8.548391
nneighs_3861	S1CS18097D-03-02_S0_L001CNODE_11984_length_3705_cov_14.003836
nneighs_3861	S3CS18097D-03-11_S0_L001CNODE_13139_length_3481_cov_7.417980
nneighs_3861	S2CS18097D-03-07_S0_L001CNODE_1140_length_11000_cov_9.267337
nneighs_17643	S2CS18097D-03-07_S0_L001CNODE_25800_length_2004_cov_2.631606
nneighs_17643	S3CS18097D-03-11_S0_L001CNODE_18163_length_2876_cov_5.483516
nneighs_17700	S3CS18097D-03-11_S0_L001CNODE_17978_length_2892_cov_5.238985
nneighs_17700	S5CS18097D-03-06_S0_L001CNODE_10136_length_3591_cov_5.987839
nneighs_17700	S5CS18097D-03-06_S0_L001CNODE_536_length_15953_cov_6.939804
nneighs_17700	S3CS18097D-03-11_S0_L001CNODE_9391_length_4250_cov_4.707032
nneighs_17700	S3CS18097D-03-11_S0_L001CNODE_590_length_16323_cov_5.223137
nneighs_6109	S1CS18097D-03-02_S0_L001CNODE_10573_length_4001_cov_4.247592
nneighs_6109	S2CS18097D-03-07_S0_L001CNODE_14239_length_2872_cov_4.249556
nneighs_6109	S4CS18097D-03-12_S0_L001CNODE_18252_length_2683_cov_3.130137
13200	S1CS18097D-03-02_S0_L001CNODE_23507_length_2459_cov_3.309484
2703	S3CS18097D-03-11_S0_L001CNODE_13076_length_3491_cov_2.982247
nneighs_19399	S5CS18097D-03-06_S0_L001CNODE_11318_length_3350_cov_5.733839
nneighs_19399	S3CS18097D-03-11_S0_L001CNODE_17255_length_2969_cov_15.507207
18258	S3CS18097D-03-11_S0_L001CNODE_27950_length_2223_cov_3.781365
25096	S2CS18097D-03-07_S0_L001CNODE_25479_length_2019_cov_5.281059
472	S3CS18097D-03-11_S0_L001CNODE_5486_length_5749_cov_5.268880
5859	S1CS18097D-03-02_S0_L001CNODE_18575_length_2845_cov_3.488172
nneighs_1649	S4CS18097D-03-12_S0_L001CNODE_7280_length_4719_cov_15.561321
nneighs_1649	S3CS18097D-03-11_S0_L001CNODE_7831_length_4700_cov_11.448009
nneighs_1649	S1CS18097D-03-02_S0_L001CNODE_2530_length_8479_cov_18.241572
nneighs_1649	S5CS18097D-03-06_S0_L001CNODE_6504_length_4687_cov_7.031736
nneighs_1649	S2CS18097D-03-07_S0_L001CNODE_6259_length_4687_cov_9.507556
18677	S3CS18097D-03-11_S0_L001CNODE_28246_length_2208_cov_4.577798
22195	S3CS18097D-03-11_S0_L001CNODE_30818_length_2096_cov_4.313572
nneighs_15481	S4CS18097D-03-12_S0_L001CNODE_19395_length_2580_cov_3.658218
nneighs_15481	S2CS18097D-03-07_S0_L001CNODE_12445_length_3110_cov_2.703437
24608	S5CS18097D-03-06_S0_L001CNODE_25345_length_2032_cov_3.189176
nneighs_12911	S4CS18097D-03-12_S0_L001CNODE_2419_length_8535_cov_7.359198
nneighs_12911	S2CS18097D-03-07_S0_L001CNODE_2415_length_7706_cov_5.969024
nneighs_12911	S1CS18097D-03-02_S0_L001CNODE_29503_length_2140_cov_3.552518
nneighs_12911	S2CS18097D-03-07_S0_L001CNODE_17671_length_2524_cov_5.786553
nneighs_12911	S3CS18097D-03-11_S0_L001CNODE_30146_length_2124_cov_4.565491
8051	S2CS18097D-03-07_S0_L001CNODE_3576_length_6299_cov_28.378764
nneighs_4531	S1CS18097D-03-02_S0_L001CNODE_7513_length_4884_cov_5.785877
nneighs_4531	S4CS18097D-03-12_S0_L001CNODE_6560_length_4983_cov_9.026989
nneighs_4531	S1CS18097D-03-02_S0_L001CNODE_18611_length_2841_cov_6.876167
nneighs_4531	S5CS18097D-03-06_S0_L001CNODE_21668_length_2243_cov_7.961152
nneighs_4531	S3CS18097D-03-11_S0_L001CNODE_15415_length_3179_cov_11.049296
nneighs_4531	S2CS18097D-03-07_S0_L001CNODE_14581_length_2827_cov_8.222583
nneighs_4531	S4CS18097D-03-12_S0_L001CNODE_10930_length_3697_cov_10.450851
4326	S4CS18097D-03-12_S0_L001CNODE_14608_length_3083_cov_3.901585
8223	S5CS18097D-03-06_S0_L001CNODE_5215_length_5348_cov_8.417155
nneighs_1084	S4CS18097D-03-12_S0_L001CNODE_4014_length_6540_cov_6.015729
nneighs_1084	S3CS18097D-03-11_S0_L001CNODE_1092_length_12829_cov_8.091749
nneighs_1084	S3CS18097D-03-11_S0_L001CNODE_4957_length_6076_cov_8.558379
nneighs_1084	S1CS18097D-03-02_S0_L001CNODE_12535_length_3608_cov_7.706164
nneighs_1084	S4CS18097D-03-12_S0_L001CNODE_1788_length_9870_cov_6.153337
nneighs_1084	S3CS18097D-03-11_S0_L001CNODE_11152_length_3831_cov_6.544492
nneighs_1084	S1CS18097D-03-02_S0_L001CNODE_1656_length_10313_cov_8.400370
nneighs_1084	S5CS18097D-03-06_S0_L001CNODE_274_length_20241_cov_5.617656
nneighs_1084	S2CS18097D-03-07_S0_L001CNODE_3247_length_6649_cov_8.290416
nneighs_1084	S1CS18097D-03-02_S0_L001CNODE_4984_length_6076_cov_10.996844
nneighs_1084	S2CS18097D-03-07_S0_L001CNODE_641_length_14273_cov_7.530103
13427	S3CS18097D-03-11_S0_L001CNODE_23818_length_2445_cov_3.939331
13427	S4CS18097D-03-12_S0_L001CNODE_25419_length_2181_cov_2.506115
nneighs_13300	S3CS18097D-03-11_S0_L001CNODE_14043_length_3355_cov_6.348485
nneighs_13300	S5CS18097D-03-06_S0_L001CNODE_24555_length_2071_cov_3.599702
nneighs_13300	S1CS18097D-03-02_S0_L001CNODE_31037_length_2074_cov_6.131748
14703	S4CS18097D-03-12_S0_L001CNODE_22168_length_2375_cov_10.612500
13671	S5CS18097D-03-06_S0_L001CNODE_19047_length_2432_cov_3.426588
nneighs_16503	S2CS18097D-03-07_S0_L001CNODE_18665_length_2442_cov_4.834520
nneighs_16503	S5CS18097D-03-06_S0_L001CNODE_23789_length_2113_cov_2.998542
nneighs_13	S5CS18097D-03-06_S0_L001CNODE_883_length_12995_cov_5.207032
nneighs_13	S3CS18097D-03-11_S0_L001CNODE_1421_length_11365_cov_6.739257
nneighs_13	S4CS18097D-03-12_S0_L001CNODE_4836_length_5908_cov_4.678285
nneighs_13	S3CS18097D-03-11_S0_L001CNODE_143_length_27143_cov_7.053455
nneighs_13	S2CS18097D-03-07_S0_L001CNODE_6120_length_4745_cov_3.015778
nneighs_13	S5CS18097D-03-06_S0_L001CNODE_10448_length_3521_cov_4.674841
nneighs_13	S4CS18097D-03-12_S0_L001CNODE_2937_length_7737_cov_4.854335
nneighs_13	S4CS18097D-03-12_S0_L001CNODE_9707_length_3981_cov_6.535405
nneighs_13	S2CS18097D-03-07_S0_L001CNODE_16229_length_2658_cov_4.241260
nneighs_13	S2CS18097D-03-07_S0_L001CNODE_24040_length_2092_cov_3.064310
nneighs_13	S5CS18097D-03-06_S0_L001CNODE_1321_length_10841_cov_5.551177
nneighs_13	S5CS18097D-03-06_S0_L001CNODE_25022_length_2047_cov_5.917671
nneighs_13	S2CS18097D-03-07_S0_L001CNODE_5415_length_5054_cov_3.437688
nneighs_13	S5CS18097D-03-06_S0_L001CNODE_4820_length_5583_cov_5.501266
nneighs_13	S2CS18097D-03-07_S0_L001CNODE_11929_length_3183_cov_3.045077
nneighs_13	S1CS18097D-03-02_S0_L001CNODE_33_length_37794_cov_6.124169
nneighs_13	S4CS18097D-03-12_S0_L001CNODE_466_length_18505_cov_5.322114
nneighs_15189	S4CS18097D-03-12_S0_L001CNODE_21565_length_2418_cov_2.608548
nneighs_15189	S2CS18097D-03-07_S0_L001CNODE_14473_length_2841_cov_3.056712
nneighs_15189	S4CS18097D-03-12_S0_L001CNODE_20736_length_2480_cov_3.591340
nneighs_15189	S2CS18097D-03-07_S0_L001CNODE_10677_length_3414_cov_3.578744
11226	S3CS18097D-03-11_S0_L001CNODE_21708_length_2587_cov_3.870458
nneighs_17873	S5CS18097D-03-06_S0_L001CNODE_22131_length_2216_cov_3.075428
nneighs_17873	S3CS18097D-03-11_S0_L001CNODE_2450_length_8709_cov_4.781026
nneighs_17873	S5CS18097D-03-06_S0_L001CNODE_4355_length_5898_cov_4.122369
nneighs_15378	S5CS18097D-03-06_S0_L001CNODE_13802_length_2969_cov_2.809540
nneighs_15378	S2CS18097D-03-07_S0_L001CNODE_11882_length_3190_cov_2.527911
nneighs_15378	S2CS18097D-03-07_S0_L001CNODE_24950_length_2045_cov_2.836181
nneighs_15378	S3CS18097D-03-11_S0_L001CNODE_26487_length_2294_cov_3.300581
nneighs_15378	S3CS18097D-03-11_S0_L001CNODE_19429_length_2761_cov_4.425351
nneighs_15378	S4CS18097D-03-12_S0_L001CNODE_16207_length_2891_cov_2.623061
4662	S3CS18097D-03-11_S0_L001CNODE_16745_length_3023_cov_3.192049
22057	S4CS18097D-03-12_S0_L001CNODE_27070_length_2100_cov_3.548655
23736	S3CS18097D-03-11_S0_L001CNODE_31878_length_2054_cov_3.062531
nneighs_4645	S1CS18097D-03-02_S0_L001CNODE_7746_length_4806_cov_6.709956
nneighs_4645	S5CS18097D-03-06_S0_L001CNODE_3088_length_7150_cov_9.439183
nneighs_4645	S1CS18097D-03-02_S0_L001CNODE_10579_length_3999_cov_5.270284
nneighs_4645	S4CS18097D-03-12_S0_L001CNODE_2354_length_8678_cov_7.375855
nneighs_4645	S3CS18097D-03-11_S0_L001CNODE_3608_length_7151_cov_12.849634
nneighs_4645	S2CS18097D-03-07_S0_L001CNODE_1930_length_8582_cov_6.475314
nneighs_13268	S3CS18097D-03-11_S0_L001CNODE_30150_length_2124_cov_3.230546
nneighs_13268	S4CS18097D-03-12_S0_L001CNODE_27341_length_2086_cov_4.857706
nneighs_13268	S1CS18097D-03-02_S0_L001CNODE_30925_length_2079_cov_4.616107
nneighs_13268	S5CS18097D-03-06_S0_L001CNODE_21758_length_2238_cov_3.819514
2138	S3CS18097D-03-11_S0_L001CNODE_11712_length_3719_cov_3.445142
nneighs_3875	S2CS18097D-03-07_S0_L001CNODE_25196_length_2032_cov_5.074355
nneighs_3875	S1CS18097D-03-02_S0_L001CNODE_6307_length_5373_cov_6.053215
nneighs_3875	S4CS18097D-03-12_S0_L001CNODE_5709_length_5381_cov_7.565528
nneighs_14624	S2CS18097D-03-07_S0_L001CNODE_7109_length_4347_cov_15.685927
nneighs_14624	S4CS18097D-03-12_S0_L001CNODE_15400_length_2982_cov_6.005808
14343	S5CS18097D-03-06_S0_L001CNODE_19505_length_2393_cov_4.329769
nneighs_12034	S4CS18097D-03-12_S0_L001CNODE_24029_length_2258_cov_5.630504
nneighs_12034	S1CS18097D-03-02_S0_L001CNODE_26416_length_2288_cov_6.652038
19521	S3CS18097D-03-11_S0_L001CNODE_28922_length_2178_cov_3.501178
nneighs_16074	S4CS18097D-03-12_S0_L001CNODE_27084_length_2099_cov_4.583170
nneighs_16074	S2CS18097D-03-07_S0_L001CNODE_15986_length_2682_cov_5.793681
nneighs_15352	S3CS18097D-03-11_S0_L001CNODE_3420_length_7361_cov_5.329045
nneighs_15352	S2CS18097D-03-07_S0_L001CNODE_11688_length_3224_cov_5.775639
4731	S3CS18097D-03-11_S0_L001CNODE_16855_length_3009_cov_13.498307
23631	S2CS18097D-03-07_S0_L001CNODE_24726_length_2056_cov_8.069465
21780	S1CS18097D-03-02_S0_L001CNODE_30237_length_2107_cov_4.660331
10752	S2CS18097D-03-07_S0_L001CNODE_16563_length_2624_cov_3.817049
22801	S1CS18097D-03-02_S0_L001CNODE_30933_length_2079_cov_2.617589
23701	S3CS18097D-03-11_S0_L001CNODE_31833_length_2055_cov_5.853500
1357	S1CS18097D-03-02_S0_L001CNODE_9611_length_4245_cov_5.233652
12304	S5CS18097D-03-06_S0_L001CNODE_18123_length_2511_cov_3.509365
2220	S5CS18097D-03-06_S0_L001CNODE_9736_length_3681_cov_3.835080
7843	S4CS18097D-03-12_S0_L001CNODE_1613_length_10371_cov_6.490209
nneighs_3849	S1CS18097D-03-02_S0_L001CNODE_6264_length_5394_cov_13.964226
nneighs_3849	S3CS18097D-03-11_S0_L001CNODE_5994_length_5451_cov_13.678095
nneighs_3849	S5CS18097D-03-06_S0_L001CNODE_5230_length_5340_cov_8.858467
nneighs_3849	S4CS18097D-03-12_S0_L001CNODE_5567_length_5461_cov_11.224565
nneighs_3849	S2CS18097D-03-07_S0_L001CNODE_4682_length_5466_cov_12.515062
22156	S3CS18097D-03-11_S0_L001CNODE_30795_length_2097_cov_4.101861
nneighs_16817	S2CS18097D-03-07_S0_L001CNODE_20523_length_2303_cov_12.666370
nneighs_16817	S3CS18097D-03-11_S0_L001CNODE_22707_length_2514_cov_17.924766
nneighs_18960	S4CS18097D-03-12_S0_L001CNODE_11887_length_3506_cov_9.464503
nneighs_18960	S3CS18097D-03-11_S0_L001CNODE_12988_length_3505_cov_6.368406
4420	S3CS18097D-03-11_S0_L001CNODE_16367_length_3064_cov_4.961117
4902	S1CS18097D-03-02_S0_L001CNODE_17156_length_2986_cov_3.747526
nneighs_13436	S2CS18097D-03-07_S0_L001CNODE_23340_length_2130_cov_3.556627
nneighs_13436	S4CS18097D-03-12_S0_L001CNODE_11465_length_3584_cov_5.188722
nneighs_13436	S1CS18097D-03-02_S0_L001CNODE_31635_length_2050_cov_5.165414
476	S1CS18097D-03-02_S0_L001CNODE_5543_length_5745_cov_3.915641
13710	S3CS18097D-03-11_S0_L001CNODE_24079_length_2429_cov_5.706403
nneighs_9143	S1CS18097D-03-02_S0_L001CNODE_17718_length_2925_cov_11.717770
nneighs_9143	S2CS18097D-03-07_S0_L001CNODE_25807_length_2003_cov_4.603696
nneighs_9143	S4CS18097D-03-12_S0_L001CNODE_17377_length_2769_cov_3.212970
19758	S3CS18097D-03-11_S0_L001CNODE_29113_length_2170_cov_2.934279
12618	S1CS18097D-03-02_S0_L001CNODE_22972_length_2493_cov_3.853568
19370	S3CS18097D-03-11_S0_L001CNODE_28812_length_2183_cov_1.884868
24772	S4CS18097D-03-12_S0_L001CNODE_28579_length_2028_cov_6.780537
6255	S3CS18097D-03-11_S0_L001CNODE_18985_length_2799_cov_7.140306
7749	S4CS18097D-03-12_S0_L001CNODE_19864_length_2543_cov_4.030547
7749	S4CS18097D-03-12_S0_L001CNODE_23491_length_2289_cov_3.887645
7749	S4CS18097D-03-12_S0_L001CNODE_9629_length_4003_cov_4.285968
7749	S4CS18097D-03-12_S0_L001CNODE_18699_length_2641_cov_3.061872
7749	S4CS18097D-03-12_S0_L001CNODE_22812_length_2332_cov_2.505929
